City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Monze,ZM,2022-06-16 10:37:52,-16.2833,27.4833,78.21,25,0,7.05
68,Kapoeta,SS,2022-06-16 10:37:52,4.7717,33.5903,93.81,29,44,15.95
69,Saint-Philippe,RE,2022-06-16 10:37:52,-21.3585,55.7679,80.19,79,61,13.33
70,Busselton,AU,2022-06-16 10:37:52,-33.65,115.3333,64.18,78,10,13.4
71,Causapscal,CA,2022-06-16 10:37:52,48.3542,-67.227,63.5,67,39,4.45
72,Atuona,PF,2022-06-16 10:37:52,-9.8,-139.0333,77.58,69,7,18.97
73,Torbay,CA,2022-06-16 10:37:52,47.6666,-52.7314,54.28,66,20,4.61
74,Grenville,GD,2022-06-16 10:37:52,12.1167,-61.6167,80.65,84,99,18.14
75,Awbari,LY,2022-06-16 10:37:53,26.5921,12.7805,93.22,15,0,11.14
76,Kapaa,US,2022-06-16 10:37:53,22.0752,-159.319,78.78,96,100,18.41
77,Poopo,BO,2022-06-16 10:37:53,-18.3667,-66.9667,28.09,35,0,2.71
78,Sinnamary,GF,2022-06-16 10:37:53,5.3833,-52.95,77.4,82,26,3.71
79,Ulladulla,AU,2022-06-16 10:34:17,-35.35,150.4667,44.76,75,14,8.63
80,Gibara,CU,2022-06-16 10:37:53,21.1097,-76.1317,72.72,86,84,8.16
81,Hobart,AU,2022-06-16 10:33:00,-42.8794,147.3294,47.05,92,20,6.91
82,Bourail,NC,2022-06-16 10:37:53,-21.5667,165.4833,73.4,87,32,5.57
83,Kolokani,ML,2022-06-16 10:34:00,13.5728,-8.0339,95.4,32,71,16.35
84,Nantucket,US,2022-06-16 10:37:54,41.2835,-70.0995,62.02,86,0,0.0
85,Kemijarvi,FI,2022-06-16 10:37:54,66.7131,27.4306,44.53,95,100,13.82
86,Lompoc,US,2022-06-16 10:37:54,34.6391,-120.4579,61.57,90,0,4.61
87,Qasigiannguit,GL,2022-06-16 10:37:54,68.8193,-51.1922,44.85,53,41,3.74
88,Jumla,NP,2022-06-16 10:37:54,29.2747,82.1838,72.21,50,82,5.77
89,Husavik,IS,2022-06-16 10:37:54,66.0449,-17.3389,52.59,57,54,1.32
90,San Policarpo,PH,2022-06-16 10:33:16,12.1791,125.5072,83.48,74,77,7.61
91,Udachnyy,RU,2022-06-16 10:37:54,66.4167,112.4,70.45,28,13,9.95
92,Huamachuco,PE,2022-06-16 10:33:01,-7.8,-78.0667,40.24,84,1,3.98
93,Georgetown,MY,2022-06-16 10:37:16,5.4112,100.3354,87.75,73,20,9.22
94,Guerrero Negro,MX,2022-06-16 10:38:55,27.9769,-114.0611,60.73,92,0,8.01
95,Faanui,PF,2022-06-16 10:38:55,-16.4833,-151.75,80.24,74,10,15.17
96,Glenwood Springs,US,2022-06-16 10:38:55,39.5505,-107.3248,60.03,19,0,8.05
97,Norman Wells,CA,2022-06-16 10:38:55,65.282,-126.8329,44.64,70,20,6.91
98,Saldanha,ZA,2022-06-16 10:38:55,-33.0117,17.9442,64.45,47,69,12.26
99,Quatre Cocos,MU,2022-06-16 10:38:55,-20.2078,57.7625,78.1,63,56,14.88
100,Perambalur,IN,2022-06-16 10:38:55,11.2333,78.8833,95.49,36,97,1.52
101,Caravelas,BR,2022-06-16 10:38:56,-17.7125,-39.2481,71.17,71,87,2.89
102,Soe,ID,2022-06-16 10:38:56,-9.8607,124.284,65.71,90,93,5.41
103,Whitianga,NZ,2022-06-16 10:35:29,-36.8333,175.7,55.71,84,4,9.53
104,Corning,US,2022-06-16 10:38:56,42.1428,-77.0547,71.64,83,100,4.61
105,Ponta Do Sol,PT,2022-06-16 10:38:56,32.6667,-17.1,75.0,63,29,7.99
106,Saint-Paul,RE,2022-06-16 10:38:56,-21.0096,55.2707,80.71,77,32,4.07
107,Fort-Shevchenko,KZ,2022-06-16 10:38:56,44.5086,50.263,80.78,55,99,17.13
108,Vanavara,RU,2022-06-16 10:38:56,60.34,102.2797,64.35,86,91,8.63
109,Hithadhoo,MV,2022-06-16 10:38:56,-0.6,73.0833,83.28,69,100,9.95
110,Chokurdakh,RU,2022-06-16 10:38:57,70.6333,147.9167,62.19,42,74,11.39
111,Dingle,PH,2022-06-16 10:38:57,10.9995,122.6711,81.27,76,100,3.85
112,Faya,SA,2022-06-16 10:38:57,18.3851,42.4509,86.52,15,97,9.37
113,Kone,NC,2022-06-16 10:38:57,-21.0595,164.8658,73.26,90,25,5.55
114,Coquimbo,CL,2022-06-16 10:38:57,-29.9533,-71.3436,51.53,100,20,3.44
115,Hasaki,JP,2022-06-16 10:38:57,35.7333,140.8333,70.29,84,100,15.03
116,Fredericksburg,US,2022-06-16 10:38:57,38.3032,-77.4605,76.01,63,40,4.61
117,Bluff,NZ,2022-06-16 10:38:57,-46.6,168.3333,42.8,59,58,10.63
118,Tiksi,RU,2022-06-16 10:38:57,71.6872,128.8694,34.59,74,32,8.43
119,Avera,US,2022-06-16 10:38:58,33.194,-82.5271,75.25,87,49,4.92
120,Saint George,US,2022-06-16 10:32:41,37.1041,-113.5841,72.19,21,0,3.44
121,Yulara,AU,2022-06-16 10:38:37,-25.2406,130.9889,65.84,34,85,6.85
122,Pishva,IR,2022-06-16 10:38:58,35.308,51.7267,98.73,6,0,11.74
123,Fier,AL,2022-06-16 10:38:58,40.7239,19.5561,84.87,43,60,9.46
124,Olafsvik,IS,2022-06-16 10:38:58,64.8945,-23.7142,48.7,70,73,13.0
125,Isangel,VU,2022-06-16 10:38:58,-19.55,169.2667,77.11,86,100,15.35
126,Sume,BR,2022-06-16 10:38:58,-7.6717,-36.88,69.19,91,99,6.82
127,Carutapera,BR,2022-06-16 10:38:59,-1.195,-46.02,77.5,80,85,4.68
128,Karakol,KG,2022-06-16 10:38:59,42.4907,78.3936,63.75,59,84,8.12
129,Dikson,RU,2022-06-16 10:38:59,73.5069,80.5464,33.73,96,32,4.21
130,Mpika,ZM,2022-06-16 10:38:59,-11.8343,31.4529,76.66,31,9,8.63
131,Santa Maria,BR,2022-06-16 10:38:59,-29.6842,-53.8069,43.9,100,75,0.0
132,Port Alfred,ZA,2022-06-16 10:38:59,-33.5906,26.891,63.18,50,68,4.0
133,Leshukonskoye,RU,2022-06-16 10:38:59,64.8989,45.7622,66.16,52,99,7.09
134,Tuatapere,NZ,2022-06-16 10:38:59,-46.1333,167.6833,43.65,81,100,4.41
135,Monteagudo,BO,2022-06-16 10:38:59,-19.8167,-63.9833,48.88,78,0,2.21
136,College,US,2022-06-16 10:39:00,64.8569,-147.8028,61.2,73,75,0.0
137,Sambava,MG,2022-06-16 10:39:00,-14.2667,50.1667,78.75,64,9,10.36
138,Angoram,PG,2022-06-16 10:39:00,-4.0625,144.0661,75.31,97,54,3.04
139,Victoria,HK,2022-06-16 10:35:20,22.2855,114.1577,86.38,80,44,10.0
140,Oksfjord,NO,2022-06-16 10:40:00,70.2396,22.3479,48.38,69,99,5.82
141,Rocha,UY,2022-06-16 10:40:00,-34.4833,-54.3333,50.07,91,100,4.29
142,Souillac,MU,2022-06-16 10:40:01,-20.5167,57.5167,77.38,73,40,17.27
143,Dum Duma,IN,2022-06-16 10:40:01,27.5667,95.5667,72.37,98,100,7.63
144,Assiniboia,CA,2022-06-16 10:40:01,49.6334,-105.9845,55.22,82,100,20.71
145,Puerto Ayora,EC,2022-06-16 10:40:01,-0.7393,-90.3518,69.55,97,50,8.01
146,Keti Bandar,PK,2022-06-16 10:40:02,24.1447,67.4497,88.14,69,5,19.71
147,Mayumba,GA,2022-06-16 10:40:02,-3.432,10.6554,76.78,76,90,10.47
148,Bintulu,MY,2022-06-16 10:40:01,3.1667,113.0333,84.61,83,40,5.01
149,Pyu,MM,2022-06-16 10:40:02,18.4833,96.4333,81.86,85,100,4.92
150,Leningradskiy,RU,2022-06-16 10:40:02,69.3833,178.4167,35.06,91,100,8.55
151,Shimoda,JP,2022-06-16 10:40:02,34.6667,138.95,71.1,93,100,15.52
152,Barrow,US,2022-06-16 10:40:03,71.2906,-156.7887,33.82,86,0,4.61
153,Talnakh,RU,2022-06-16 10:40:03,69.4865,88.3972,72.88,46,100,1.92
154,Erenhot,CN,2022-06-16 10:40:03,43.6475,111.9767,86.9,21,57,8.97
155,Yumen,CN,2022-06-16 10:40:03,40.2833,97.2,94.41,5,78,10.8
156,Baculin,PH,2022-06-16 10:40:03,7.4525,126.5842,79.02,84,95,4.47
157,Grove City,US,2022-06-16 10:40:03,39.8815,-83.093,78.53,90,0,4.61
