City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ushuaia,AR,-54.8,-68.3,35.26,93,100,13.8,overcast clouds
80,Asyut,EG,27.181,31.1837,96.98,17,0,17.69,clear sky
81,Cururupu,BR,-1.8283,-44.8683,88.88,48,100,5.7,overcast clouds
82,Naryan-Mar,RU,67.6713,53.087,65.26,44,100,8.88,overcast clouds
83,Mangrol,IN,21.1167,70.1167,85.42,75,97,14.05,overcast clouds
84,Saint-Augustin,CA,51.226,-58.6502,65.88,57,73,10.42,broken clouds
85,Palu,ID,-0.8917,119.8707,74.48,96,74,2.86,heavy intensity rain
86,Jamestown,US,42.097,-79.2353,87.39,73,20,12.66,few clouds
87,Teknaf,BD,20.8624,92.3058,77.09,92,100,8.16,overcast clouds
88,Waingapu,ID,-9.6567,120.2641,76.89,85,11,7.52,few clouds
89,Nesebar,BG,42.7833,27.7333,72.48,58,7,4.81,clear sky
90,Victoria Point,AU,-27.5833,153.3,55.9,93,0,9.06,clear sky
91,Avera,US,33.194,-82.5271,87.85,43,19,6.11,few clouds
92,Terney,RU,45.0503,136.6092,52.56,97,94,2.21,overcast clouds
93,Solnechnyy,RU,50.7214,136.6319,54.97,98,88,4.12,overcast clouds
94,Conde,BR,-7.2597,-34.9075,83.66,61,40,9.22,scattered clouds
95,East London,ZA,-33.0153,27.9116,52.74,71,0,4.61,clear sky
96,Le Port,RE,-20.9373,55.2919,73.36,71,9,11.74,clear sky
97,Dingle,PH,10.9995,122.6711,78.64,81,22,4.85,few clouds
98,Souillac,MU,-20.5167,57.5167,73.78,78,40,11.5,scattered clouds
99,Alanya,TR,36.5438,31.9998,80.73,63,2,4.81,clear sky
100,Honiara,SB,-9.4333,159.95,76.05,84,92,6.78,overcast clouds
101,Kaifeng,CN,34.7911,114.3483,90.75,34,0,19.53,clear sky
102,Ponta Do Sol,PT,32.6667,-17.1,77.72,64,37,8.86,scattered clouds
103,Cape Town,ZA,-33.9258,18.4232,63.27,58,0,4.61,clear sky
104,Hermanus,ZA,-34.4187,19.2345,58.8,56,100,6.08,overcast clouds
105,Quesnel,CA,52.9999,-122.5029,57.7,72,40,5.75,scattered clouds
106,Qaanaaq,GL,77.484,-69.3632,34.99,64,13,1.79,few clouds
107,Port Alfred,ZA,-33.5906,26.891,55.18,68,67,6.08,broken clouds
108,Burhanpur,IN,21.3,76.2333,92.84,44,89,13.18,overcast clouds
109,Penzance,GB,50.1186,-5.5371,68.68,68,20,11.5,few clouds
110,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,74,10,6.35,clear sky
111,Key West,US,24.5557,-81.7826,89.6,72,20,10.36,few clouds
112,Buala,SB,-8.145,159.5921,78.69,83,100,7.0,light rain
113,Nioki,CD,-2.7167,17.6833,86.67,49,86,1.95,overcast clouds
114,Kizukuri,JP,40.8061,140.3861,64.94,87,100,4.27,overcast clouds
115,Bandarbeyla,SO,9.4942,50.8122,77.47,85,99,27.76,overcast clouds
116,Kilifi,KE,-3.6305,39.8499,77.0,84,35,10.04,scattered clouds
117,Upernavik,GL,72.7868,-56.1549,34.93,65,42,3.04,scattered clouds
118,Catabola,AO,-12.15,17.2833,79.29,25,28,5.44,scattered clouds
119,Pangkalanbuun,ID,-2.6833,111.6167,74.32,98,100,1.05,light rain
120,Blahodatne,UA,50.6637,24.2492,69.76,57,93,3.31,overcast clouds
121,Kimberley,ZA,-28.7323,24.7623,53.29,32,0,4.61,clear sky
122,Narsaq,GL,60.9167,-46.05,57.42,54,32,9.62,scattered clouds
123,Les Cayes,HT,18.2,-73.75,87.76,53,100,9.24,overcast clouds
124,Cabo San Lucas,MX,22.8909,-109.9124,89.91,37,40,3.44,scattered clouds
125,Egvekinot,RU,66.3167,-179.1667,32.68,99,99,1.72,overcast clouds
126,Amahai,ID,-3.3333,128.9167,77.0,89,97,3.58,overcast clouds
127,Mao,ES,39.8885,4.2658,88.36,35,0,6.91,clear sky
128,Okhotsk,RU,59.3833,143.3,41.31,97,88,3.98,overcast clouds
129,Walvis Bay,NA,-22.9575,14.5053,76.15,31,0,4.61,clear sky
130,Tiksi,RU,71.6872,128.8694,31.37,85,42,5.01,scattered clouds
131,Bluff,NZ,-46.6,168.3333,38.8,58,42,2.93,scattered clouds
132,Almaznyy,RU,48.0448,40.045,64.65,59,72,8.01,broken clouds
133,Kruisfontein,ZA,-34.0033,24.7314,56.88,56,87,5.79,overcast clouds
134,Guerrero Negro,MX,27.9769,-114.0611,69.85,60,0,9.28,clear sky
135,Kearney,US,40.6995,-99.0815,77.58,60,0,14.97,clear sky
136,Tynda,RU,55.1667,124.7167,50.94,68,40,2.26,scattered clouds
137,Tehachapi,US,35.1322,-118.449,79.54,32,0,7.0,clear sky
138,Fort Nelson,CA,58.8053,-122.7002,53.19,82,100,8.05,overcast clouds
139,Ghanzi,BW,-21.5667,21.7833,59.04,21,0,7.31,clear sky
140,Sumbe,AO,-11.2061,13.8437,74.16,70,12,8.99,few clouds
141,Valparaiso,CL,-33.0393,-71.6273,58.64,77,20,5.75,few clouds
142,Cockburn Town,TC,21.4612,-71.1419,82.0,78,96,12.66,overcast clouds
143,Bredasdorp,ZA,-34.5322,20.0403,55.62,56,100,6.15,overcast clouds
144,Mahibadhoo,MV,3.7833,72.9667,83.28,76,100,14.97,light rain
145,Tasiilaq,GL,65.6145,-37.6368,37.56,95,100,2.84,overcast clouds
146,Elizabeth City,US,36.2946,-76.2511,78.8,61,75,3.44,broken clouds
147,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,10.36,light intensity drizzle
148,Victor Harbor,AU,-35.5667,138.6167,52.68,82,100,3.71,overcast clouds
149,Kirakira,SB,-10.4544,161.9205,78.73,86,92,7.54,overcast clouds
